W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W 
W			W	W	W		W	W	W		W	W	W		W	W	W		W	W	W			W 
W			W				W		W		W		W		W				W		W			W 
W			W				W	H	W		W		W		W	W	W		W	W	W			W 
W			W				W		W		W		W		W		W		W	W				W 
W			W	W	W		W	W	W		W		W		W	W	W		W		W			W 
W																								W 
W			W	W	W		W	W	W		W		W		W				W	W	W			W 
W			W		W			W			W		W		W				W		W			W 
W			W	W	W			W			W		W		W				W	W	W			W 
W			W		W			W			W		W		W				W		W			W 
W			W		W			W			W	W	W		W	W	W		W		W			W 
W																								W 
W								1							2									W 
W			W	W	W			W			W	W	W		W	W	W		W	W	W			W 
W				W				W			W		W		W		W		W					W 
W				W				W			W		W		W		W			W				W 
W				W				W			W		W		W	G	W				W			W 
W				W				W			W	W	W		W		W		W	W	W			W 
W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W	W